Feature,Importance
current_score,0.048490339385157434
current_wickets_fallen,0.19300908850119697
cumulative_fours,0.09660776127877035
cumulative_sixes,0.14675640044853247
balls_bowled,0.03200737493583127
balls_since_last_wicket,0.00705836213322916
runs_since_last_wicket,0.033167373281371114
avg_runs_per_ball_last_3,0.13548863215187068
avg_runs_per_wicket_last_3,0.13522947919311895
Venue_Arun Jaitley Stadium,0.0029825178764410643
"Venue_Arun Jaitley Stadium, Delhi",0.004094380203425905
Venue_Barabati Stadium,0.003935326560181667
Venue_Brabourne Stadium,0.0008643151715769431
"Venue_Brabourne Stadium, Mumbai",0.007501319035038757
Venue_Buffalo Park,0.0
Venue_De Beers Diamond Oval,0.0
Venue_Dr DY Patil Sports Academy,0.0
"Venue_Dr DY Patil Sports Academy, Mumbai",0.004376962814755732
Venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.0026893434105346673
Venue_Dubai International Cricket Stadium,0.005825260353927363
Venue_Eden Gardens,0.00976672461596148
"Venue_Eden Gardens, Kolkata",0.0013832871824922225
Venue_Feroz Shah Kotla,0.00681834542192674
Venue_Green Park,0.001528265291123056
Venue_Himachal Pradesh Cricket Association Stadium,0.0013403810702098426
Venue_Holkar Cricket Stadium,0.005240713904606618
Venue_JSCA International Stadium Complex,0.0022106639950644864
Venue_Kingsmead,0.0
Venue_M Chinnaswamy Stadium,0.012337775171015839
Venue_M.Chinnaswamy Stadium,0.0064883198270179404
Venue_MA Chidambaram Stadium,0.003311432720040112
"Venue_MA Chidambaram Stadium, Chepauk",0.004672486508982868
"Venue_MA Chidambaram Stadium, Chepauk, Chennai",0.003711724710374549
Venue_Maharashtra Cricket Association Stadium,0.004803792215537672
"Venue_Maharashtra Cricket Association Stadium, Pune",0.0013807115260438157
"Venue_Narendra Modi Stadium, Ahmedabad",0.001975567794777675
Venue_Nehru Stadium,0.0
Venue_New Wanderers Stadium,0.0
Venue_Newlands,0.0
Venue_OUTsurance Oval,0.0
Venue_Punjab Cricket Association IS Bindra Stadium,0.0012827955073976942
"Venue_Punjab Cricket Association IS Bindra Stadium, Mohali",0.004183877457390851
"Venue_Punjab Cricket Association Stadium, Mohali",0.005273036665415253
Venue_Rajiv Gandhi International Stadium,0.0047516863581953655
"Venue_Rajiv Gandhi International Stadium, Uppal",0.010015309189709744
"Venue_Sardar Patel Stadium, Motera",0.0019542532218393563
Venue_Saurashtra Cricket Association Stadium,0.001161632404536309
Venue_Sawai Mansingh Stadium,0.003363012476894908
Venue_Shaheed Veer Narayan Singh International Stadium,0.0013446752569240454
Venue_Sharjah Cricket Stadium,0.009115592581734059
Venue_Sheikh Zayed Stadium,0.006022794630907004
Venue_St George's Park,0.0
Venue_Subrata Roy Sahara Stadium,0.005098458487537666
Venue_SuperSport Park,0.0
"Venue_Vidarbha Cricket Association Stadium, Jamtha",0.0
Venue_Wankhede Stadium,0.008299717794801981
"Venue_Wankhede Stadium, Mumbai",0.007034113966846493
"Venue_Zayed Cricket Stadium, Abu Dhabi",0.004044615309733946
